date,day_of_week,day_of_week_code,is_weekend,month,season_code,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,is_holiday,holiday_5,holiday_weekend,holiday_friendly,holiday_code,holiday_type,websession,websession30,websession45,websession60,seosearch,seosearch30,seosearch45,seasearch60,webhit,webhit30,webhit45,webhit60,webpv,webpv30,webpv45,webpv60,adclick,adclick30,adclick45,adclick60,adview,adview30,adview45,adview60,adconv,adconv30,adconv45,adconv60,priceact
5/5/2016,Thursday,5,0,5,2,45,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,177,332,514,35,1034,2129,3123,0,10,14,21,89.4
10/29/2015,Thursday,5,0,10,4,49,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,706,1057,1396,137,9157,12875,16804,2,15,22,34,90.67
9/13/2016,Tuesday,4,0,9,4,85,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,536,793,1072,1095,16558,24187,34585,0,6,10,13,91.07
2/9/2015,Monday,2,0,2,1,12,78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,280,398,610,420,7897,11253,14553,0,6,7,10,92.39
8/6/2016,Saturday,1,0,8,3,90,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,598,886,1119,124,16380,23377,29118,0,9,18,23,92.43
4/23/2018,Monday,4,0,4,2,79,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,408,11932,18143,24832,97,2900,4440,6133,1998,65531,99332,135265,1879,62285,94187,128118,6,176,204,250,140,3301,3607,3906,0,10,11,12,95.38
8/2/2016,Tuesday,4,0,8,3,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,586,840,1066,152,15431,21570,27815,1,13,20,26,100.39
2/27/2017,Monday,3,0,2,1,33,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,298,11025,17390,25573,105,3994,6405,9635,929,33845,53320,78305,828,29752,46581,67889,1,75,108,147,25,695,996,1332,0,0,0,1,102.46
5/3/2018,Thursday,7,1,5,2,42,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,457,12493,18647,24955,130,2998,4530,6086,2541,68630,102731,137744,2340,65126,97546,130524,18,272,328,359,257,4545,5745,5986,0,17,18,18,102.68
9/13/2018,Thursday,7,1,9,4,79,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,733,20842,30735,40725,180,4768,7125,9681,3660,107847,160607,213042,3460,102274,152554,202589,0,462,684,1006,1,85122,131919,152073,0,5,7,12,102.96
