date,day_of_week,day_of_week_code,is_weekend,month, season_code ,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sunday,monday,tuesday,wednesday,thursday,friday,saturday
1/1/2015,Thursday,5,0,1,1,84,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/2/2015,Friday,6,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/3/2015,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/4/2015,Sunday,1,0,1,1,22,68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/5/2015,Monday,2,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/6/2015,Tuesday,3,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/7/2015,Wednesday,4,0,1,1,11,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/8/2015,Thursday,5,0,1,1,9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/9/2015,Friday,6,1,1,1,57,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/10/2015,Saturday,7,1,1,1,91,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/11/2015,Sunday,1,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/12/2015,Monday,2,0,1,1,7,83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/13/2015,Tuesday,3,0,1,1,8,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/14/2015,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/15/2015,Thursday,5,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/16/2015,Friday,6,1,1,1,51,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/17/2015,Saturday,7,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/18/2015,Sunday,1,0,1,1,75,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/19/2015,Monday,2,0,1,1,10,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/20/2015,Tuesday,3,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/21/2015,Wednesday,4,0,1,1,28,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/22/2015,Thursday,5,0,1,1,15,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/23/2015,Friday,6,1,1,1,59,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/24/2015,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/25/2015,Sunday,1,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/26/2015,Monday,2,0,1,1,14,76,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/27/2015,Tuesday,3,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1/28/2015,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/29/2015,Thursday,5,0,1,1,17,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1/30/2015,Friday,6,1,1,1,58,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/31/2015,Saturday,7,1,1,1,72,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2/1/2015,Sunday,1,0,2,1,13,77,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/2/2015,Monday,2,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2/3/2015,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/4/2015,Wednesday,4,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/5/2015,Thursday,5,0,2,1,8,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2/6/2015,Friday,6,1,2,1,52,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/7/2015,Saturday,7,1,2,1,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2/8/2015,Sunday,1,0,2,1,15,75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/9/2015,Monday,2,0,2,1,12,78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2/10/2015,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/11/2015,Wednesday,4,0,2,1,10,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/12/2015,Thursday,5,0,2,1,19,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2/13/2015,Friday,6,1,2,1,44,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2/14/2015,Saturday,7,1,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2/15/2015,Sunday,1,0,2,1,71,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2/16/2015,Monday,2,0,2,1,38,52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2/17/2015,Tuesday,3,0,2,1,29,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/18/2015,Wednesday,4,0,2,1,34,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2/19/2015,Thursday,5,0,2,1,32,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2/20/2015,Friday,6,1,2,1,68,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
