holiday_friendly,holiday_code,holiday_type,date,day_of_week,day_of_week_code,is_weekend,month,season_code,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,is_holiday,holiday_5,holiday_weekend
New Year's Day,nyd,Federal,00:00.0,Thursday,5,0,1,1,84,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,1,0,1,1,22,68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
NULL,NULL,NULL,00:00.0,Monday,2,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,1,1,11,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,1,1,9,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,1,1,57,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,7,1,1,1,91,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,1,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,1,1,7,83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,1,1,8,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Friday,6,1,1,1,51,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,7,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,1,0,1,1,75,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Martin Luther King Jr. Day,mlk,Federal,00:00.0,Monday,2,0,1,1,10,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,1,1,28,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,1,1,15,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Friday,6,1,1,1,59,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,1,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,1,1,14,76,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,1,1,17,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,1,1,58,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,7,1,1,1,72,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,1,0,2,1,13,77,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,2,1,8,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,2,1,52,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,7,1,2,1,80,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,1,0,2,1,15,75,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,2,1,12,78,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,2,1,10,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,2,1,19,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Friday,6,1,2,1,44,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Washington Midwinter Break,mwb,School,00:00.0,Saturday,7,1,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Washington Midwinter Break,mwb,School,00:00.0,Sunday,1,0,2,1,71,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
President's Day,pres,Federal,00:00.0,Monday,2,0,2,1,38,52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,2,1,29,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,2,1,34,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,2,1,32,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NULL,NULL,NULL,00:00.0,Friday,6,1,2,1,68,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
NULL,NULL,NULL,00:00.0,Saturday,7,1,2,1,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
NULL,NULL,NULL,00:00.0,Sunday,1,0,2,1,20,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,2,1,13,77,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,2,1,12,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,2,1,18,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,2,1,23,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,2,1,58,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,7,1,2,1,84,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,1,0,3,2,12,78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,3,2,12,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,3,2,14,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,7,1,3,2,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,1,0,3,2,26,64,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Thursday,5,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Friday,6,1,3,2,40,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NULL,NULL,NULL,00:00.0,Saturday,7,1,3,2,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NULL,NULL,NULL,00:00.0,Sunday,1,0,3,2,17,73,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Monday,2,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Tuesday,3,0,3,2,11,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NULL,NULL,NULL,00:00.0,Wednesday,4,0,3,2,19,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
